,4.0_4_corr,4.0_4_pval,4.0_4_qval,4.0_4_ci_low,4.0_4_ci_high
SNIP1,0.028823,1.77E-03,5.36E-03,0.010755,0.046873
GTF2IRD2B,0.028756,1.82E-03,5.48E-03,0.010688,0.046806
HLX,0.028683,1.86E-03,5.62E-03,0.010615,0.046733
DPY19L3,0.028664,1.88E-03,5.65E-03,0.010595,0.046713
RNF169,0.028642,1.89E-03,5.69E-03,0.010573,0.046692
MT1X,0.028641,1.89E-03,5.69E-03,0.010572,0.04669
STK38,0.028637,1.90E-03,5.69E-03,0.010568,0.046686
RP11-552D4.1,0.028622,1.91E-03,5.71E-03,0.010554,0.046672
WDR74,0.028558,1.95E-03,5.84E-03,0.01049,0.046608
FAM19A2,0.028475,2.01E-03,6.01E-03,0.010406,0.046525
PCED1A,0.028457,2.03E-03,6.04E-03,0.010388,0.046507
CCSAP,0.028422,2.05E-03,6.11E-03,0.010354,0.046472
AP003774.6,0.028396,2.07E-03,6.16E-03,0.010328,0.046446
CAMKK2,0.028393,2.07E-03,6.16E-03,0.010325,0.046443
C1orf233,0.028359,2.10E-03,6.23E-03,0.01029,0.046409
PIKFYVE,0.02818,2.24E-03,6.61E-03,0.010112,0.046231
C4orf32,0.028128,2.28E-03,6.72E-03,0.01006,0.046179
KIAA0368,0.028066,2.33E-03,6.85E-03,0.009997,0.046116
ACAP3,0.02798,2.41E-03,7.05E-03,0.009911,0.046031
MT1F,0.027954,2.43E-03,7.10E-03,0.009885,0.046005
TTI1,0.027943,2.44E-03,7.12E-03,0.009874,0.045994
MED14,0.027814,2.56E-03,7.43E-03,0.009745,0.045865
CD69,0.027665,2.70E-03,7.81E-03,0.009596,0.045716
RP11-469M7.1,0.027596,2.76E-03,7.99E-03,0.009527,0.045647
TTC38,0.027575,2.78E-03,8.04E-03,0.009505,0.045626
PIP5K1B,0.027569,2.79E-03,8.04E-03,0.0095,0.045621
RFNG,0.027564,2.79E-03,8.05E-03,0.009494,0.045615
HNRNPL,0.027464,2.90E-03,8.32E-03,0.009394,0.045515
RTN3,0.027432,2.93E-03,8.41E-03,0.009362,0.045483
NAPEPLD,0.027368,2.99E-03,8.58E-03,0.009299,0.04542
SYT15,0.027361,3.00E-03,8.59E-03,0.009292,0.045413
LRRC47,0.027353,3.01E-03,8.61E-03,0.009283,0.045404
RPA4,0.027318,3.05E-03,8.70E-03,0.009249,0.04537
C5orf30,0.027196,3.18E-03,9.06E-03,0.009127,0.045248
USP31,0.027089,3.30E-03,9.36E-03,0.00902,0.045141
RP11-1143G9.4,0.027061,3.34E-03,9.44E-03,0.008991,0.045113
LY6G5C,0.026985,3.43E-03,9.68E-03,0.008915,0.045037
VAMP1,0.026674,3.82E-03,1.07E-02,0.008604,0.044727
RCOR1,0.026659,3.84E-03,1.08E-02,0.008589,0.044712
HSPA6,0.026654,3.84E-03,1.08E-02,0.008584,0.044707
TPRG1L,0.026608,3.90E-03,1.09E-02,0.008538,0.04466
VILL,0.026502,4.05E-03,1.13E-02,0.008432,0.044555
KANSL3,0.026416,4.17E-03,1.16E-02,0.008347,0.044469
CORO2A,0.026341,4.28E-03,1.19E-02,0.008271,0.044394
G0S2,0.026296,4.34E-03,1.21E-02,0.008226,0.044349
SETD1B,0.026253,4.41E-03,1.22E-02,0.008183,0.044306
MIOS,0.026212,4.47E-03,1.24E-02,0.008142,0.044265
MIR4458HG,0.026147,4.57E-03,1.26E-02,0.008076,0.0442
COG6,0.026088,4.66E-03,1.28E-02,0.008018,0.044142
ZNF320,0.026032,4.75E-03,1.30E-02,0.007962,0.044085
ANAPC4,0.026022,4.77E-03,1.31E-02,0.007951,0.044075
RP11-97C16.1,0.025879,5.01E-03,1.37E-02,0.007809,0.043932
DCUN1D2,0.025859,5.04E-03,1.37E-02,0.007789,0.043912
CEP192,0.025847,5.06E-03,1.38E-02,0.007777,0.043901
ZBED4,0.025843,5.07E-03,1.38E-02,0.007773,0.043897
D2HGDH,0.025771,5.19E-03,1.41E-02,0.0077,0.043824
RP13-516M14.1,0.02569,5.33E-03,1.45E-02,0.007619,0.043743
CALCRL,0.025685,5.34E-03,1.45E-02,0.007615,0.043739
YOD1,0.025606,5.48E-03,1.48E-02,0.007536,0.04366
NXF1,0.025604,5.49E-03,1.48E-02,0.007533,0.043657
FAM73B,0.025596,5.50E-03,1.48E-02,0.007525,0.04365
PLCG2,0.025515,5.65E-03,1.52E-02,0.007444,0.043569
TAF4,0.025504,5.67E-03,1.53E-02,0.007434,0.043558
NEK4,0.025496,5.69E-03,1.53E-02,0.007426,0.04355
SULT1A1,0.025434,5.81E-03,1.56E-02,0.007363,0.043488
NPLOC4,0.02542,5.84E-03,1.57E-02,0.007349,0.043474
CSTF1,0.025416,5.84E-03,1.57E-02,0.007345,0.04347
RP11-51J9.5,0.025383,5.91E-03,1.58E-02,0.007312,0.043437
ARMC7,0.025246,6.18E-03,1.64E-02,0.007176,0.0433
ZNF787,0.025237,6.20E-03,1.65E-02,0.007166,0.043291
UBTD2,0.025142,6.40E-03,1.69E-02,0.007072,0.043197
CENPB,0.025137,6.41E-03,1.70E-02,0.007066,0.043191
DDX26B,0.025118,6.45E-03,1.70E-02,0.007047,0.043172
CLK2,0.025027,6.64E-03,1.75E-02,0.006956,0.043081
RPS6KA1,0.025009,6.68E-03,1.76E-02,0.006938,0.043063
TNFAIP6,0.024963,6.78E-03,1.78E-02,0.006892,0.043017
ENGASE,0.02494,6.83E-03,1.80E-02,0.006869,0.042994
DSTYK,0.024878,6.97E-03,1.83E-02,0.006807,0.042933
PRDM10,0.024805,7.14E-03,1.87E-02,0.006734,0.04286
SLC9A8,0.02463,7.56E-03,1.97E-02,0.006559,0.042685
EPG5,0.024491,7.90E-03,2.05E-02,0.00642,0.042546
BBS10,0.024444,8.03E-03,2.08E-02,0.006373,0.042499
STK17A,0.024397,8.15E-03,2.11E-02,0.006326,0.042452
KCTD2,0.024305,8.39E-03,2.17E-02,0.006234,0.04236
RUFY2,0.02429,8.43E-03,2.17E-02,0.006219,0.042346
ASXL1,0.024134,8.86E-03,2.28E-02,0.006063,0.04219
PELI2,0.024048,9.11E-03,2.33E-02,0.005976,0.042103
JAK3,0.024033,9.15E-03,2.34E-02,0.005962,0.042089
YPEL1,0.023962,9.36E-03,2.39E-02,0.00589,0.042017
USP7,0.023943,9.41E-03,2.40E-02,0.005872,0.041999
USPL1,0.02392,9.48E-03,2.42E-02,0.005848,0.041975
TMEM248,0.023893,9.56E-03,2.44E-02,0.005822,0.041949
ABHD17A,0.023862,9.66E-03,2.46E-02,0.005791,0.041918
RP11-497H16.9,0.023851,9.69E-03,2.46E-02,0.005779,0.041907
DPY19L1,0.023722,1.01E-02,2.56E-02,0.00565,0.041778
CDC42EP3,0.023679,1.02E-02,2.58E-02,0.005607,0.041735
ARFGAP1,0.02366,1.03E-02,2.60E-02,0.005589,0.041717
CHST11,0.023653,1.03E-02,2.60E-02,0.005582,0.041709
VPS33B,0.023644,1.03E-02,2.61E-02,0.005572,0.0417
MESDC1,0.023496,1.08E-02,2.72E-02,0.005424,0.041552
RP11-229P13.20,0.023481,1.09E-02,2.73E-02,0.00541,0.041538
EXOSC6,0.023457,1.10E-02,2.75E-02,0.005386,0.041514
RP11-488L18.10,0.023379,1.12E-02,2.80E-02,0.005307,0.041435
C5orf22,0.023378,1.12E-02,2.80E-02,0.005306,0.041434
RFWD2,0.023275,1.16E-02,2.89E-02,0.005203,0.041332
EID2,0.023271,1.16E-02,2.89E-02,0.0052,0.041328
PNOC,0.023236,1.17E-02,2.92E-02,0.005165,0.041293
SYNGAP1,0.023167,1.20E-02,2.97E-02,0.005096,0.041224
ASAP1,0.023158,1.20E-02,2.98E-02,0.005086,0.041215
FIZ1,0.023108,1.22E-02,3.02E-02,0.005037,0.041165
RP11-448A19.1,0.023103,1.22E-02,3.02E-02,0.005031,0.04116
ATP11B,0.02309,1.23E-02,3.03E-02,0.005018,0.041147
TMEM45A,0.023048,1.24E-02,3.07E-02,0.004976,0.041105
CEP120,0.023012,1.26E-02,3.09E-02,0.00494,0.041068
DNAJC16,0.022993,1.26E-02,3.11E-02,0.004921,0.04105
AHSA2,0.022991,1.27E-02,3.11E-02,0.004919,0.041048
GCN1L1,0.022989,1.27E-02,3.11E-02,0.004917,0.041046
COG3,0.022966,1.28E-02,3.13E-02,0.004894,0.041023
AGO1,0.022939,1.29E-02,3.15E-02,0.004867,0.040996
MEX3C,0.022935,1.29E-02,3.15E-02,0.004863,0.040992
CYP4F3,0.022893,1.30E-02,3.18E-02,0.004821,0.04095
GLI4,0.022855,1.32E-02,3.21E-02,0.004783,0.040912
CTAGE5,0.022849,1.32E-02,3.22E-02,0.004777,0.040906
RP11-658F2.8,0.022831,1.33E-02,3.23E-02,0.004759,0.040888
AP1G2,0.022824,1.33E-02,3.23E-02,0.004752,0.040881
RP3-508I15.21,0.022795,1.34E-02,3.26E-02,0.004723,0.040852
SIRPB1,0.02279,1.35E-02,3.26E-02,0.004718,0.040847
TRIM52,0.022641,1.41E-02,3.39E-02,0.004569,0.040698
TTC21B,0.022615,1.42E-02,3.41E-02,0.004543,0.040672
ULK1,0.022554,1.44E-02,3.47E-02,0.004482,0.040611
MBD6,0.022546,1.45E-02,3.47E-02,0.004473,0.040603
NRGN,0.022419,1.50E-02,3.59E-02,0.004347,0.040476
FAM120C,0.022408,1.51E-02,3.60E-02,0.004336,0.040466
ZNF181,0.022314,1.55E-02,3.69E-02,0.004242,0.040372
CAMKMT,0.022221,1.60E-02,3.79E-02,0.004148,0.040278
SIRPD,0.022219,1.60E-02,3.79E-02,0.004147,0.040277
CCNT1,0.022215,1.60E-02,3.79E-02,0.004143,0.040273
AC002467.7,0.022099,1.65E-02,3.91E-02,0.004027,0.040157
SFI1,0.022031,1.69E-02,3.98E-02,0.003959,0.040089
RP11-977G19.11,0.022019,1.69E-02,3.99E-02,0.003947,0.040077
PRR7,0.021921,1.74E-02,4.10E-02,0.003849,0.039979
RCHY1,0.021873,1.77E-02,4.15E-02,0.0038,0.039931
SIK3,0.021865,1.77E-02,4.16E-02,0.003792,0.039923
TMEM71,0.021833,1.79E-02,4.19E-02,0.00376,0.039891
COL9A3,0.021822,1.80E-02,4.20E-02,0.003749,0.03988
RP3-477O4.14,0.021791,1.81E-02,4.23E-02,0.003719,0.03985
RP11-175O19.4,0.02179,1.81E-02,4.23E-02,0.003717,0.039848
PPIF,0.021761,1.83E-02,4.26E-02,0.003689,0.039819
AL627309.1,0.021736,1.84E-02,4.29E-02,0.003664,0.039794
SELO,0.02167,1.88E-02,4.37E-02,0.003597,0.039728
LMBRD2,0.021633,1.90E-02,4.41E-02,0.003561,0.039692
9-Mar,0.021632,1.90E-02,4.41E-02,0.003559,0.03969
RP11-690G19.3,0.021572,1.93E-02,4.47E-02,0.0035,0.039631
DGKG,0.021478,1.98E-02,4.58E-02,0.003405,0.039536
ACPL2,0.02137,2.05E-02,4.71E-02,0.003297,0.039428
SLC25A40,0.021329,2.07E-02,4.75E-02,0.003257,0.039388
POLRMT,0.02132,2.08E-02,4.76E-02,0.003247,0.039379
ID1,0.021253,2.12E-02,4.84E-02,0.00318,0.039312
EME2,0.021165,2.17E-02,4.96E-02,0.003092,0.039224
PRDM15,0.021154,2.18E-02,4.97E-02,0.003081,0.039213
KLRD1,-0.021142,2.19E-02,4.97E-02,-0.039201,-0.003069
PARP12,-0.021151,2.18E-02,4.97E-02,-0.03921,-0.003078
GZMH,-0.021164,2.17E-02,4.96E-02,-0.039222,-0.003091
AP001816.1,-0.021187,2.16E-02,4.93E-02,-0.039246,-0.003114
ADAMTSL4,-0.021267,2.11E-02,4.83E-02,-0.039326,-0.003194
IL1R2,-0.021348,2.06E-02,4.73E-02,-0.039407,-0.003276
LGALS2,-0.021364,2.05E-02,4.71E-02,-0.039422,-0.003291
TMED7,-0.021381,2.04E-02,4.70E-02,-0.039439,-0.003308
PTGDS,-0.021392,2.03E-02,4.69E-02,-0.039451,-0.003319
TMEM127,-0.021427,2.01E-02,4.64E-02,-0.039486,-0.003354
ARL15,-0.02143,2.01E-02,4.64E-02,-0.039489,-0.003358
NYAP2,-0.021493,1.98E-02,4.57E-02,-0.039551,-0.00342
SNAPC3,-0.021506,1.97E-02,4.55E-02,-0.039564,-0.003433
ARHGAP25,-0.021549,1.94E-02,4.50E-02,-0.039608,-0.003477
SLC29A3,-0.021587,1.92E-02,4.46E-02,-0.039645,-0.003514
GALC,-0.021661,1.88E-02,4.38E-02,-0.039719,-0.003588
GCHFR,-0.021835,1.79E-02,4.19E-02,-0.039893,-0.003763
IRF9,-0.02186,1.78E-02,4.16E-02,-0.039919,-0.003788
TET3,-0.02194,1.73E-02,4.08E-02,-0.039998,-0.003868
KCTD11,-0.022011,1.70E-02,4.00E-02,-0.040069,-0.003938
TINCR,-0.022039,1.68E-02,3.98E-02,-0.040097,-0.003967
SLC27A1,-0.022162,1.62E-02,3.84E-02,-0.04022,-0.00409
PDP1,-0.022168,1.62E-02,3.84E-02,-0.040225,-0.004095
NR1D2,-0.022252,1.58E-02,3.76E-02,-0.04031,-0.00418
CTA-217C2.1,-0.022256,1.58E-02,3.76E-02,-0.040313,-0.004183
STK40,-0.022366,1.53E-02,3.64E-02,-0.040424,-0.004294
JAG1,-0.022413,1.51E-02,3.60E-02,-0.04047,-0.004341
CD63,-0.022444,1.49E-02,3.57E-02,-0.040501,-0.004372
HS1BP3,-0.022468,1.48E-02,3.55E-02,-0.040525,-0.004396
CHST13,-0.022469,1.48E-02,3.55E-02,-0.040527,-0.004397
TLR6,-0.022557,1.44E-02,3.47E-02,-0.040615,-0.004485
CTNS,-0.022567,1.44E-02,3.46E-02,-0.040625,-0.004495
EHBP1L1,-0.02262,1.42E-02,3.41E-02,-0.040678,-0.004548
ARRB1,-0.022668,1.40E-02,3.37E-02,-0.040725,-0.004596
ALOX15B,-0.022671,1.39E-02,3.37E-02,-0.040728,-0.004599
MT-ATP8,-0.022681,1.39E-02,3.36E-02,-0.040738,-0.004609
OAS2,-0.022689,1.39E-02,3.36E-02,-0.040746,-0.004617
NPTN,-0.022689,1.39E-02,3.36E-02,-0.040746,-0.004617
LCAT,-0.022837,1.33E-02,3.23E-02,-0.040895,-0.004766
RP11-452H21.4,-0.022901,1.30E-02,3.18E-02,-0.040958,-0.004829
WDFY3,-0.022953,1.28E-02,3.14E-02,-0.04101,-0.004881
GNLY,-0.023015,1.26E-02,3.09E-02,-0.041072,-0.004943
RP11-294J22.6,-0.023106,1.22E-02,3.02E-02,-0.041163,-0.005035
GS1-124K5.11,-0.023213,1.18E-02,2.93E-02,-0.04127,-0.005142
TLR8,-0.023216,1.18E-02,2.93E-02,-0.041273,-0.005145
REPS2,-0.023242,1.17E-02,2.91E-02,-0.041299,-0.005171
CYB5D1,-0.023427,1.11E-02,2.77E-02,-0.041484,-0.005356
ZEB2-AS1,-0.023452,1.10E-02,2.75E-02,-0.041509,-0.005381
KDM7A,-0.023455,1.10E-02,2.75E-02,-0.041512,-0.005384
TMEM160,-0.02362,1.04E-02,2.62E-02,-0.041676,-0.005549
TPCN1,-0.02363,1.04E-02,2.61E-02,-0.041686,-0.005559
FAM212B,-0.023684,1.02E-02,2.58E-02,-0.04174,-0.005612
TFEB,-0.023685,1.02E-02,2.58E-02,-0.041741,-0.005613
MMP24-AS1,-0.02371,1.01E-02,2.57E-02,-0.041766,-0.005639
CD101,-0.023756,9.98E-03,2.53E-02,-0.041812,-0.005685
SAMD4A,-0.023867,9.64E-03,2.45E-02,-0.041923,-0.005796
GPX8,-0.024025,9.17E-03,2.35E-02,-0.042081,-0.005954
WBP1L,-0.024123,8.89E-03,2.28E-02,-0.042178,-0.006052
PRKAG2,-0.024201,8.67E-03,2.23E-02,-0.042256,-0.00613
RASGRP4,-0.024232,8.59E-03,2.21E-02,-0.042287,-0.00616
MICAL2,-0.024281,8.46E-03,2.18E-02,-0.042336,-0.006209
ZDHHC7,-0.024342,8.29E-03,2.14E-02,-0.042397,-0.006271
SLC35C1,-0.024364,8.24E-03,2.13E-02,-0.042419,-0.006292
NUAK2,-0.024414,8.10E-03,2.10E-02,-0.042469,-0.006342
C18orf32,-0.024476,7.94E-03,2.06E-02,-0.042531,-0.006405
KCNJ15,-0.024515,7.84E-03,2.04E-02,-0.04257,-0.006444
PANX1,-0.024569,7.71E-03,2.01E-02,-0.042624,-0.006498
CD3G,-0.024644,7.52E-03,1.96E-02,-0.042699,-0.006573
FCGR1A,-0.024652,7.51E-03,1.96E-02,-0.042707,-0.006581
ABTB1,-0.024657,7.49E-03,1.96E-02,-0.042712,-0.006586
RNF146,-0.024691,7.41E-03,1.94E-02,-0.042746,-0.00662
AC040977.1,-0.024818,7.11E-03,1.86E-02,-0.042873,-0.006747
ABCD1,-0.025091,6.51E-03,1.72E-02,-0.043145,-0.00702
SGMS2,-0.025123,6.44E-03,1.70E-02,-0.043178,-0.007053
RIT1,-0.025192,6.29E-03,1.67E-02,-0.043246,-0.007121
CHCHD10,-0.025213,6.25E-03,1.66E-02,-0.043267,-0.007142
GZMM,-0.025246,6.18E-03,1.64E-02,-0.0433,-0.007175
PPP1R9B,-0.02527,6.13E-03,1.63E-02,-0.043325,-0.0072
ECE1,-0.025308,6.06E-03,1.62E-02,-0.043362,-0.007237
THAP2,-0.02532,6.03E-03,1.61E-02,-0.043374,-0.007249
RP11-334C17.5,-0.02534,5.99E-03,1.60E-02,-0.043394,-0.007269
PPM1M,-0.025394,5.89E-03,1.58E-02,-0.043448,-0.007323
KCNE1,-0.025684,5.34E-03,1.45E-02,-0.043738,-0.007614
XIST,-0.025688,5.34E-03,1.45E-02,-0.043742,-0.007618
RP11-102N12.3,-0.025757,5.22E-03,1.42E-02,-0.04381,-0.007686
CD247,-0.025873,5.02E-03,1.37E-02,-0.043927,-0.007803
FAM214B,-0.02599,4.82E-03,1.32E-02,-0.044043,-0.00792
KIAA0226,-0.026017,4.78E-03,1.31E-02,-0.044071,-0.007947
MTRNR2L13,-0.026047,4.73E-03,1.30E-02,-0.0441,-0.007977
PPP2R5B,-0.026111,4.63E-03,1.27E-02,-0.044164,-0.008041
MTRNR2L6,-0.026148,4.57E-03,1.26E-02,-0.044201,-0.008078
ITGA5,-0.026151,4.56E-03,1.26E-02,-0.044204,-0.008081
RRM2B,-0.026188,4.51E-03,1.25E-02,-0.044241,-0.008118
NHS,-0.026291,4.35E-03,1.21E-02,-0.044344,-0.008221
CTA-384D8.34,-0.026336,4.29E-03,1.19E-02,-0.044389,-0.008266
CCL3L3,-0.026383,4.22E-03,1.18E-02,-0.044436,-0.008313
WWC3,-0.026497,4.06E-03,1.13E-02,-0.044549,-0.008427
RXRA,-0.026503,4.05E-03,1.13E-02,-0.044555,-0.008433
SLC25A53,-0.026576,3.95E-03,1.11E-02,-0.044628,-0.008506
MOB3A,-0.026614,3.90E-03,1.09E-02,-0.044667,-0.008544
ESRRA,-0.02677,3.69E-03,1.04E-02,-0.044822,-0.0087
RNPEPL1,-0.026808,3.64E-03,1.03E-02,-0.04486,-0.008738
WARS,-0.027078,3.32E-03,9.39E-03,-0.04513,-0.009009
IFIT1,-0.027091,3.30E-03,9.36E-03,-0.045143,-0.009021
PTGS2,-0.027138,3.25E-03,9.22E-03,-0.04519,-0.009068
CD74,-0.027159,3.22E-03,9.17E-03,-0.04521,-0.009089
TLR7,-0.027207,3.17E-03,9.03E-03,-0.045258,-0.009137
ZCCHC14,-0.027294,3.07E-03,8.77E-03,-0.045346,-0.009225
RP11-254F7.2,-0.027417,2.94E-03,8.44E-03,-0.045468,-0.009348
SH3TC1,-0.0275,2.86E-03,8.23E-03,-0.045551,-0.00943
RAB8B,-0.027595,2.76E-03,7.99E-03,-0.045646,-0.009526
SLC35D2,-0.027676,2.69E-03,7.79E-03,-0.045727,-0.009607
FAM65B,-0.027793,2.57E-03,7.47E-03,-0.045844,-0.009724
ZRSR2,-0.027815,2.55E-03,7.43E-03,-0.045866,-0.009746
JAZF1,-0.027865,2.51E-03,7.31E-03,-0.045916,-0.009796
SULT1B1,-0.027917,2.46E-03,7.18E-03,-0.045968,-0.009848
BRI3,-0.027966,2.42E-03,7.08E-03,-0.046017,-0.009897
ATG9A,-0.028024,2.37E-03,6.95E-03,-0.046074,-0.009955
ARHGAP29,-0.028069,2.33E-03,6.85E-03,-0.046119,-0.01
DDX60L,-0.028079,2.32E-03,6.84E-03,-0.046129,-0.01001
HIST2H2AA3,-0.028162,2.26E-03,6.65E-03,-0.046212,-0.010093
B4GALT1,-0.028184,2.24E-03,6.61E-03,-0.046234,-0.010115
LINC00877,-0.02823,2.20E-03,6.51E-03,-0.04628,-0.010161
FAM110A,-0.028326,2.12E-03,6.29E-03,-0.046376,-0.010257
NCF1,-0.028384,2.08E-03,6.17E-03,-0.046434,-0.010316
WWP1,-0.028488,2.00E-03,5.99E-03,-0.046538,-0.01042
YPEL3,-0.028703,1.85E-03,5.58E-03,-0.046752,-0.010634
SDF4,-0.028789,1.79E-03,5.42E-03,-0.046838,-0.01072
ENTPD3-AS1,-0.029021,1.65E-03,5.01E-03,-0.04707,-0.010953
ATP5EP2,-0.029041,1.63E-03,4.98E-03,-0.04709,-0.010972
IFFO1,-0.029148,1.57E-03,4.81E-03,-0.047197,-0.01108
SLC30A1,-0.029201,1.54E-03,4.72E-03,-0.04725,-0.011133
RP11-841O20.2,-0.029202,1.54E-03,4.72E-03,-0.047251,-0.011134
DNMBP,-0.029354,1.45E-03,4.48E-03,-0.047403,-0.011286
CTNNB1,-0.02956,1.35E-03,4.17E-03,-0.047609,-0.011492
ARHGEF3,-0.029866,1.20E-03,3.75E-03,-0.047914,-0.011798
PHLDB1,-0.029895,1.19E-03,3.72E-03,-0.047943,-0.011827
RASSF3,-0.029993,1.14E-03,3.59E-03,-0.048041,-0.011925
ADAM8,-0.030126,1.08E-03,3.43E-03,-0.048174,-0.012059
PWWP2B,-0.030251,1.03E-03,3.27E-03,-0.048299,-0.012184
FAM50A,-0.030416,9.70E-04,3.09E-03,-0.048463,-0.012349
ZGLP1,-0.030466,9.52E-04,3.04E-03,-0.048513,-0.012398
RP11-403P17.3,-0.030476,9.48E-04,3.03E-03,-0.048523,-0.012409
SETD7,-0.030527,9.30E-04,2.97E-03,-0.048574,-0.01246
SNX11,-0.03084,8.23E-04,2.64E-03,-0.048886,-0.012773
ALDH1A1,-0.031011,7.69E-04,2.48E-03,-0.049057,-0.012944
USP15,-0.031076,7.50E-04,2.43E-03,-0.049122,-0.01301
PHC2,-0.03116,7.25E-04,2.36E-03,-0.049207,-0.013094
MFSD12,-0.031215,7.10E-04,2.31E-03,-0.049261,-0.013149
RP11-561P12.5,-0.031224,7.07E-04,2.30E-03,-0.04927,-0.013157
CDKN2B,-0.031307,6.85E-04,2.23E-03,-0.049353,-0.01324
PDE4A,-0.031542,6.23E-04,2.04E-03,-0.049588,-0.013476
S100A13,-0.031563,6.18E-04,2.03E-03,-0.049609,-0.013497
APOL2,-0.031569,6.17E-04,2.02E-03,-0.049615,-0.013503
TMEM63B,-0.031584,6.13E-04,2.02E-03,-0.049629,-0.013518
SMAD7,-0.031704,5.84E-04,1.93E-03,-0.049749,-0.013638
RP1-197B17.3,-0.031714,5.82E-04,1.92E-03,-0.04976,-0.013648
MT-ND6,-0.03174,5.76E-04,1.91E-03,-0.049785,-0.013673
ANKRD37,-0.031933,5.33E-04,1.77E-03,-0.049978,-0.013867
CSF2RB,-0.031942,5.31E-04,1.77E-03,-0.049988,-0.013877
ACVR2A,-0.032021,5.14E-04,1.72E-03,-0.050066,-0.013955
CATSPER1,-0.032311,4.57E-04,1.54E-03,-0.050356,-0.014246
KLRF1,-0.032338,4.52E-04,1.52E-03,-0.050383,-0.014272
ZEB2,-0.032378,4.45E-04,1.50E-03,-0.050422,-0.014312
MAPKAPK5,-0.032489,4.25E-04,1.44E-03,-0.050533,-0.014423
MT-ND4,-0.0325,4.23E-04,1.43E-03,-0.050544,-0.014435
IL1R1,-0.032574,4.11E-04,1.40E-03,-0.050618,-0.014508
THBS3,-0.032664,3.96E-04,1.35E-03,-0.050708,-0.014598
CCDC170,-0.032735,3.84E-04,1.31E-03,-0.050779,-0.01467
CD93,-0.032846,3.67E-04,1.26E-03,-0.05089,-0.014781
GDI1,-0.03297,3.49E-04,1.20E-03,-0.051014,-0.014905
SSH2,-0.033243,3.11E-04,1.08E-03,-0.051286,-0.015178
GALNS,-0.033432,2.87E-04,1.00E-03,-0.051475,-0.015368
CLEC1A,-0.033779,2.48E-04,8.72E-04,-0.051821,-0.015715
S100A4,-0.033788,2.47E-04,8.70E-04,-0.05183,-0.015723
RP11-138A9.2,-0.033857,2.40E-04,8.47E-04,-0.0519,-0.015793
SEMA6B,-0.033895,2.36E-04,8.34E-04,-0.051938,-0.015831
RHOQ,-0.033924,2.33E-04,8.25E-04,-0.051966,-0.01586
TNFSF10,-0.03393,2.33E-04,8.24E-04,-0.051972,-0.015866
CBX7,-0.034041,2.22E-04,7.88E-04,-0.052083,-0.015977
SLC2A6,-0.034066,2.20E-04,7.81E-04,-0.052108,-0.016002
OSCAR,-0.034242,2.04E-04,7.25E-04,-0.052283,-0.016178
TNFRSF8,-0.03428,2.00E-04,7.15E-04,-0.052322,-0.016217
SGTB,-0.034299,1.99E-04,7.10E-04,-0.052341,-0.016235
GOLM1,-0.034364,1.93E-04,6.92E-04,-0.052406,-0.016301
CREB5,-0.034584,1.76E-04,6.33E-04,-0.052625,-0.01652
ATP6V0A1,-0.034617,1.73E-04,6.24E-04,-0.052658,-0.016553
CLMN,-0.034835,1.58E-04,5.71E-04,-0.052876,-0.016772
ACSL4,-0.035005,1.46E-04,5.33E-04,-0.053046,-0.016942
CCL5,-0.035027,1.45E-04,5.29E-04,-0.053067,-0.016963
RASA3,-0.035052,1.43E-04,5.24E-04,-0.053092,-0.016989
CPEB4,-0.035094,1.41E-04,5.15E-04,-0.053134,-0.017031
RELB,-0.035153,1.37E-04,5.03E-04,-0.053193,-0.01709
TGFBR1,-0.035184,1.35E-04,4.97E-04,-0.053224,-0.017121
PPP2CB,-0.035187,1.35E-04,4.97E-04,-0.053227,-0.017124
CH25H,-0.035276,1.30E-04,4.79E-04,-0.053316,-0.017213
PPP2R3A,-0.03528,1.30E-04,4.79E-04,-0.05332,-0.017217
FKBP5,-0.035329,1.27E-04,4.70E-04,-0.053369,-0.017266
FGFBP2,-0.03548,1.19E-04,4.44E-04,-0.05352,-0.017417
ACSL1,-0.035542,1.16E-04,4.33E-04,-0.053581,-0.017479
IFI44L,-0.035561,1.15E-04,4.31E-04,-0.0536,-0.017498
MS4A14,-0.03573,1.06E-04,4.04E-04,-0.053769,-0.017667
PLBD2,-0.035869,9.98E-05,3.81E-04,-0.053908,-0.017807
MYO9B,-0.035904,9.83E-05,3.75E-04,-0.053943,-0.017842
NRG1,-0.035945,9.65E-05,3.69E-04,-0.053984,-0.017883
ARAP1,-0.036008,9.38E-05,3.59E-04,-0.054047,-0.017946
CLIP4,-0.03613,8.88E-05,3.41E-04,-0.054169,-0.018068
GPR155,-0.036288,8.27E-05,3.19E-04,-0.054327,-0.018226
ITPKC,-0.036422,7.78E-05,3.02E-04,-0.05446,-0.01836
GABARAP,-0.036512,7.47E-05,2.91E-04,-0.05455,-0.018451
OTUD1,-0.036546,7.36E-05,2.87E-04,-0.054584,-0.018484
IL1B,-0.036584,7.23E-05,2.82E-04,-0.054622,-0.018523
ITGAL,-0.036638,7.05E-05,2.76E-04,-0.054676,-0.018577
IL10RB-AS1,-0.036641,7.04E-05,2.76E-04,-0.054679,-0.01858
DLGAP1-AS1,-0.036919,6.20E-05,2.44E-04,-0.054956,-0.018857
FOXO3,-0.03693,6.17E-05,2.43E-04,-0.054967,-0.018869
